ClientCalcs,Gflops,Temperature,Errors
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,75,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
3,102.308,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,75,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
6,88.446,74,0
