ClientCalcs,Gflops,Temperature,Errors
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,71,0
4,88.8983,70,0
4,88.8983,70,0
4,88.8983,70,0
4,88.8983,70,0
4,88.8983,70,0
4,88.8983,70,0
4,88.8983,70,0
4,88.8983,70,0
4,88.8983,70,0
